num_rooms,size,floor,Price,Location,Date,Today
3 ,119 ,8/16 ,278 000,Nəsimi r.,"Bakı, bugün 14:41",06/15/2022
3 ,148 ,12/27 ,208 000,Yasamal r.,"Bakı, bugün 14:40",06/15/2022
5 ,100 ,3/9 ,135 000,Həzi Aslanov m.,"Bakı, bugün 14:40",06/15/2022
3 ,141 ,15/17 ,184 000,Xətai r.,"Bakı, bugün 14:40",06/15/2022
3 ,115.4 ,8/15 ,265 420,Nəriman Nərimanov m.,"Bakı, dünən 16:30",06/15/2022
4 ,160 ,9/15 ,310 000,Nəsimi r.,"Bakı, 03 i̇yun 2022",06/15/2022
2 ,60 ,17/17 ,123 000,Nərimanov r.,"Bakı, 11 i̇yun 2022",06/15/2022
4 ,196 ,17/18 ,440 000,Şah İsmayıl Xətai m.,"Bakı, 01 i̇yun 2022",06/15/2022
2 ,46 ,,85 100,20 Yanvar m.,"Bakı, 08 i̇yun 2022",06/15/2022
1 ,65.1 ,,120 434,Bakı,"Bakı, 03 i̇yun 2022",06/15/2022
4 ,209.4 ,,397 917,Bakı,"Bakı, 09 i̇yun 2022",06/15/2022
3 ,137.7 ,,316 756,Bakı,"Bakı, dünən 15:26",06/15/2022
4 ,192 ,14/20 ,470 000,Nəsimi r.,"Bakı, bugün 14:40",06/15/2022
3 ,124 ,16/17 ,149 500,Əhmədli m.,"Bakı, bugün 14:39",06/15/2022
2 ,96 ,3/16 ,155 000,Qara Qarayev m.,"Bakı, bugün 14:38",06/15/2022
3 ,108 ,6/17 ,317 000,Nizami m.,"Bakı, bugün 14:38",06/15/2022
3 ,139.8 ,7/16 ,244 500,Nizami m.,"Bakı, bugün 14:38",06/15/2022
4 ,167 ,2/13 ,250 000,M.Ə.Rəsulzadə q.,"Bakı, bugün 14:38",06/15/2022
2 ,68 ,8/18 ,120 000,20 Yanvar m.,"Bakı, bugün 14:38",06/15/2022
3 ,90 ,13/17 ,162 000,Neftçilər m.,"Bakı, bugün 14:37",06/15/2022
3 ,120 ,13/17 ,188 000,İnşaatçılar m.,"Bakı, bugün 14:37",06/15/2022
3 ,101 ,3/16 ,194 500,Nəsimi r.,"Bakı, bugün 14:37",06/15/2022
2 ,95 ,13/17 ,158 000,Nərimanov r.,"Bakı, bugün 14:37",06/15/2022
3 ,136 ,13/16 ,150 000,Əhmədli q.,"Bakı, bugün 14:49",06/15/2022
2 ,67 ,12/18 ,108 000,Xətai r.,"Bakı, bugün 14:35",06/15/2022
2 ,72 ,12/18 ,118 000,Nizami r.,"Bakı, bugün 14:35",06/15/2022
4 ,148 ,12/21 ,134 000,20 Yanvar m.,"Bakı, bugün 14:33",06/15/2022
3 ,92 ,3/7 ,105 000,Masazır q.,"Bakı, bugün 14:33",06/15/2022
3 ,140 ,10/18 ,255 000,Yasamal q.,"Bakı, bugün 14:33",06/15/2022
3 ,95 ,2/6 ,185 000,28 May m.,"Bakı, bugün 14:32",06/15/2022
3 ,159 ,9/16 ,318 000,Elmlər Akademiyası m.,"Bakı, bugün 14:32",06/15/2022
3 ,138.4 ,9/19 ,227 000,Şah İsmayıl Xətai m.,"Bakı, bugün 14:30",06/15/2022
4 ,80 ,6/9 ,180 000,9-cu mikrorayon q.,"Bakı, bugün 14:49",06/15/2022
3 ,80 ,2/5 ,125 000,Yasamal r.,"Bakı, bugün 14:30",06/15/2022
2 ,45 ,4/5 ,69 000,İnşaatçılar m.,"Bakı, bugün 14:29",06/15/2022
4 ,217 ,14/19 ,610 000,Elmlər Akademiyası m.,"Bakı, bugün 14:29",06/15/2022
3 ,101 ,14/17 ,235 000,Nizami m.,"Bakı, 12 i̇yun 2022",06/15/2022
4 ,146 ,16/19 ,165 000,Həzi Aslanov m.,"Bakı, 12 i̇yun 2022",06/15/2022
2 ,66 ,18/18 ,86 000,Yeni Yasamal q.,"Bakı, dünən 14:13",06/15/2022
2 ,67 ,12/16 ,113 000,28 May m.,"Bakı, bugün 15:10",06/15/2022
2 ,65.2 ,,260 474,Sea Breeze ,"Bakı, dünən 14:47",06/15/2022
3 ,110.3 ,,209 494,Bakı,"Bakı, 09 i̇yun 2022",06/15/2022
1 ,45.6 ,,86 640,Bakı,"Bakı, 02 i̇yun 2022",06/15/2022
2 ,70.9 ,,88 625,Bakı,"Bakı, bugün 10:39",06/15/2022
3 ,60.1 ,5/5 ,230 000,Sahil m.,"Bakı, bugün 14:28",06/15/2022
2 ,50 ,7/10 ,54 500,Masazır q.,"Bakı, bugün 14:28",06/15/2022
1 ,64 ,5/17 ,100 000,Nəriman Nərimanov m.,"Bakı, bugün 14:28",06/15/2022
2 ,70 ,17/17 ,130 000,7-ci mikrorayon q.,"Bakı, bugün 14:28",06/15/2022
4 ,150 ,7/18 ,250 000,İnşaatçılar m.,"Bakı, bugün 14:28",06/15/2022
3 ,90 ,4/9 ,155 000,Nəsimi m.,"Bakı, bugün 14:27",06/15/2022
3 ,101 ,1/5 ,145 000,Nərimanov r.,"Bakı, bugün 14:25",06/15/2022
2 ,50 ,1/5 ,77 000,Memar Əcəmi m.,"Bakı, bugün 14:24",06/15/2022
2 ,100 ,5/16 ,174 000,Nəsimi r.,"Bakı, bugün 14:24",06/15/2022
3 ,110 ,9/17 ,220 000,Səbail r.,"Bakı, bugün 14:23",06/15/2022
3 ,130 ,2/2 ,60 000,Puta q.,"Bakı, bugün 14:23",06/15/2022
3 ,82 ,2/9 ,157 000,Qara Qarayev m.,"Bakı, bugün 14:23",06/15/2022
3 ,72 ,6/10 ,155 000,Badamdar q.,"Bakı, bugün 14:22",06/15/2022
2 ,103 ,20/22 ,103 000,20 Yanvar m.,"Bakı, bugün 14:22",06/15/2022
4 ,204 ,2/18 ,224 000,Binəqədi r.,"Bakı, bugün 14:21",06/15/2022
3 ,130 ,4/18 ,188 000,8-ci mikrorayon q.,"Bakı, bugün 14:21",06/15/2022
2 ,95 ,11/16 ,155 000,Yasamal q.,"Bakı, bugün 14:21",06/15/2022
2 ,70 ,12/16 ,160 000,Nəsimi r.,"Bakı, bugün 14:24",06/15/2022
4 ,170 ,17/18 ,280 000,İnşaatçılar m.,"Bakı, bugün 14:19",06/15/2022
3 ,65 ,3/4 ,102 000,Gənclik m.,"Bakı, bugün 14:19",06/15/2022
4 ,220 ,18/18 ,242 000,Nərimanov r.,"Bakı, bugün 14:19",06/15/2022
3 ,92 ,10/10 ,159 000,Gənclik m.,"Bakı, bugün 14:18",06/15/2022
2 ,100 ,15/17 ,100 000,Yeni Yasamal q.,"Bakı, bugün 14:18",06/15/2022
3 ,100 ,7/20 ,135 000,Əhmədli m.,"Bakı, bugün 14:17",06/15/2022
