Name,Price,Location,Date,Today,num_rooms,size,floor
5 otaqlı100 m²3/9 mərtəbə,135 000,Həzi Aslanov m.,"Bakı, bugün 14:40",06/15/2022,5 ,100 ,3/9 
3 otaqlı141 m²15/17 mərtəbə,184 000,Xətai r.,"Bakı, bugün 14:40",06/15/2022,3 ,141 ,15/17 
3 otaqlı115.4 m²8/15 mərtəbə,265 420,Nəriman Nərimanov m.,"Bakı, dünən 16:30",06/15/2022,3 ,115.4 ,8/15 
4 otaqlı160 m²9/15 mərtəbə,310 000,Nəsimi r.,"Bakı, 03 i̇yun 2022",06/15/2022,4 ,160 ,9/15 
2 otaqlı60 m²17/17 mərtəbə,123 000,Nərimanov r.,"Bakı, 11 i̇yun 2022",06/15/2022,2 ,60 ,17/17 
4 otaqlı196 m²17/18 mərtəbə,440 000,Şah İsmayıl Xətai m.,"Bakı, 01 i̇yun 2022",06/15/2022,4 ,196 ,17/18 
2 otaqlı46 m²,85 100,20 Yanvar m.,"Bakı, 08 i̇yun 2022",06/15/2022,2 ,46 ,
1 otaqlı65.1 m²,120 434,Bakı,"Bakı, 03 i̇yun 2022",06/15/2022,1 ,65.1 ,
4 otaqlı209.4 m²,397 917,Bakı,"Bakı, 09 i̇yun 2022",06/15/2022,4 ,209.4 ,
3 otaqlı137.7 m²,316 756,Bakı,"Bakı, dünən 15:26",06/15/2022,3 ,137.7 ,
4 otaqlı192 m²14/20 mərtəbə,470 000,Nəsimi r.,"Bakı, bugün 14:40",06/15/2022,4 ,192 ,14/20 
3 otaqlı124 m²16/17 mərtəbə,149 500,Əhmədli m.,"Bakı, bugün 14:39",06/15/2022,3 ,124 ,16/17 
2 otaqlı96 m²3/16 mərtəbə,155 000,Qara Qarayev m.,"Bakı, bugün 14:38",06/15/2022,2 ,96 ,3/16 
3 otaqlı108 m²6/17 mərtəbə,317 000,Nizami m.,"Bakı, bugün 14:38",06/15/2022,3 ,108 ,6/17 
