location,city,object_type,bill_num,mortgage_num,price_cleaned,rooms_cleaned_num,size_cleaned_num,floor_current_num,floor_max_num,floor_ratio
Sumqayıt,sumqayit,menziller/yeni-tikili,0,0,88800,2.0,74.0,7.0,14.0,0.5
Sumqayıt,sumqayit,menziller/yeni-tikili,1,0,79000,2.0,60.0,8.0,8.0,1.0
Sumqayıt,sumqayit,menziller/yeni-tikili,1,0,127000,3.0,99.0,16.0,17.0,0.9411764705882353
Sumqayıt,sumqayit,menziller/yeni-tikili,0,0,75000,2.0,50.0,6.0,10.0,0.6
Sumqayıt,sumqayit,menziller/yeni-tikili,0,0,60000,1.0,57.0,5.0,8.0,0.625
Sumqayıt,sumqayit,menziller/yeni-tikili,1,0,168000,4.0,102.4,6.0,10.0,0.6
Sumqayıt,sumqayit,menziller/yeni-tikili,1,0,37000,3.0,90.0,1.0,1.0,1.0
Sumqayıt,sumqayit,menziller/yeni-tikili,1,0,75000,2.0,66.0,7.0,16.0,0.4375
Sumqayıt,sumqayit,menziller/yeni-tikili,1,1,19500,2.0,42.0,7.0,9.0,0.7777777777777778
Sumqayıt,sumqayit,menziller/yeni-tikili,0,0,93800,2.0,93.8,6.0,11.0,0.5454545454545454
Sumqayıt,sumqayit,menziller/yeni-tikili,1,1,133000,3.0,112.0,7.0,10.0,0.7
Sumqayıt,sumqayit,menziller/yeni-tikili,1,0,98000,2.0,60.0,12.0,12.0,1.0
Sumqayıt,sumqayit,menziller/yeni-tikili,0,0,70191,2.0,78.0,,,
Sumqayıt,sumqayit,menziller/kohne-tikili,1,0,44500,1.0,33.0,5.0,5.0,1.0
Sumqayıt,sumqayit,menziller/kohne-tikili,1,0,92000,2.0,56.0,3.0,4.0,0.75
Sumqayıt,sumqayit,menziller/kohne-tikili,1,0,74000,3.0,70.0,1.0,5.0,0.2
Sumqayıt,sumqayit,menziller/kohne-tikili,1,0,104000,4.0,90.0,5.0,5.0,1.0
Sumqayıt,sumqayit,menziller/kohne-tikili,1,0,97000,5.0,100.0,4.0,5.0,0.8
Sumqayıt,sumqayit,menziller/kohne-tikili,1,1,88800,3.0,85.0,2.0,5.0,0.4
Sumqayıt,sumqayit,menziller/kohne-tikili,1,0,64000,2.0,50.0,5.0,5.0,1.0
Sumqayıt,sumqayit,menziller/kohne-tikili,1,0,44500,1.0,33.0,5.0,5.0,1.0
Sumqayıt,sumqayit,menziller/kohne-tikili,1,0,88000,3.0,67.0,4.0,5.0,0.8
Sumqayıt,sumqayit,menziller/kohne-tikili,1,0,77000,4.0,84.0,8.0,9.0,0.8888888888888888
Sumqayıt,sumqayit,menziller/kohne-tikili,1,0,85000,5.0,100.0,5.0,5.0,1.0
Sumqayıt,sumqayit,menziller/kohne-tikili,1,0,72000,3.0,66.0,5.0,5.0,1.0
Sumqayıt,sumqayit,menziller/kohne-tikili,1,0,64500,2.0,46.0,2.0,5.0,0.4
Sumqayıt,sumqayit,menziller/kohne-tikili,0,0,71000,3.0,70.0,4.0,5.0,0.8
Sumqayıt,sumqayit,menziller/kohne-tikili,1,0,118000,4.0,90.0,3.0,5.0,0.6
Sumqayıt,sumqayit,menziller/kohne-tikili,1,0,47000,2.0,40.0,5.0,5.0,1.0
Sumqayıt,sumqayit,menziller/kohne-tikili,1,0,104000,4.0,90.0,5.0,5.0,1.0
Sumqayıt,sumqayit,menziller/kohne-tikili,1,0,105000,3.0,72.0,3.0,3.0,1.0
Sumqayıt,sumqayit,menziller/kohne-tikili,1,0,79000,3.0,70.0,4.0,5.0,0.8
Sumqayıt,sumqayit,menziller/kohne-tikili,1,0,95000,5.0,124.0,2.0,5.0,0.4
Sumqayıt,sumqayit,menziller/kohne-tikili,1,0,65000,3.0,70.0,5.0,5.0,1.0
Sumqayıt,sumqayit,menziller/kohne-tikili,1,0,105000,3.0,65.0,8.0,9.0,0.8888888888888888
Sumqayıt,sumqayit,menziller/kohne-tikili,1,0,55500,2.0,45.7,4.0,5.0,0.8
Sumqayıt,sumqayit,menziller/kohne-tikili,1,0,70000,3.0,65.0,1.0,9.0,0.1111111111111111
Sumqayıt,sumqayit,menziller/kohne-tikili,1,0,70000,3.0,65.0,1.0,9.0,0.1111111111111111
Sumqayıt,sumqayit,evler,1,1,43000,2.0,70.0,,,
Sumqayıt,sumqayit,evler,1,0,280000,7.0,250.0,,,
Sumqayıt,sumqayit,evler,1,1,43000,2.0,70.0,,,
Sumqayıt,sumqayit,evler,1,0,70000,1.0,90.0,,,
Sumqayıt,sumqayit,evler,1,0,160000,5.0,250.0,,,
Sumqayıt,sumqayit,evler,1,0,120000,4.0,110.0,,,
Sumqayıt,sumqayit,evler,0,0,185000,4.0,220.0,,,
Sumqayıt,sumqayit,evler,0,0,90000,4.0,140.0,,,
Sumqayıt,sumqayit,evler,1,0,197000,4.0,150.0,,,
Sumqayıt,sumqayit,evler,1,0,220000,8.0,675.0,,,
Sumqayıt,sumqayit,evler,1,0,250000,6.0,264.0,,,
Sumqayıt,sumqayit,evler,0,0,45000,3.0,50.0,,,
Sumqayıt,sumqayit,evler,1,0,128000,5.0,240.0,,,
Sumqayıt,sumqayit,evler,0,0,34000,3.0,90.0,,,
Sumqayıt,sumqayit,evler,0,0,48000,3.0,100.0,,,
Sumqayıt,sumqayit,evler,0,0,90000,4.0,122.0,,,
Sumqayıt,sumqayit,evler,1,0,100000,7.0,220.0,,,
Sumqayıt,sumqayit,evler,1,1,149000,8.0,260.0,,,
Sumqayıt,sumqayit,evler,1,0,43000,3.0,81.0,,,
Sumqayıt,sumqayit,evler,1,0,42000,2.0,77.0,,,
Sumqayıt,sumqayit,evler,1,0,21000,3.0,75.0,,,
Sumqayıt,sumqayit,evler,1,0,90000,6.0,220.0,,,
Sumqayıt,sumqayit,evler,1,0,24000,1.0,24.4,,,
Sumqayıt,sumqayit,evler,1,0,155000,3.0,100.0,,,
Sumqayıt,sumqayit,evler,0,0,38500,3.0,110.0,,,
Sumqayıt,sumqayit,baglar,1,0,290000,,260.0,,,
Sumqayıt,sumqayit,baglar,1,0,70000,,96.0,,,
